sourceKeyword,PRDLST_NM,PRDLST_DCNM,POG_DAYCNT,QLITY_MNTNC_TMLMT_DAYCNT,BSSH_NM,PRDLST_REPORT_NO,PRMS_DT,LAST_UPDT_DTM
두부,3단압출 쫄깃 두부면 해물짬뽕맛,숙면,제조일로부터 5개월,,농업회사법인 한둘푸드주식회사,20240291516106,20250401,20250402
두부,3단압출 쫄깃 사각 두부 수제비 채소전골맛,숙면,제조일로부터 5개월,,농업회사법인 한둘푸드주식회사,20240291516107,20250401,20250402
두부,3단압출 쫄깃 사각 두부 수제비 해물짬뽕맛,숙면,제조일로부터 5개월,,농업회사법인 한둘푸드주식회사,20240291516108,20250401,20250402
두부,3단압출 쫄깃 얇은 국산두부면,숙면,제조일로부터 5개월,,농업회사법인 한둘푸드주식회사,20240291516126,20250611,20250723
두부,40kcal 두부면,두류가공품,제조일부터 14개월,,(주)해청정,2023064826024,20260226,20260228
두부,40년 전통 조춘자 할머니의 가마솥 손두부,두부,19일,,성원,201705200764,20171031,20220208
두부,40년 전통 조춘자 할머니의 가마솥 순두부,두부,19일,,성원,201705200766,20171031,20220208
두부,40년 전통 조춘자 할머니의 가마솥 흑두부,두부,19일,,성원,201705200765,20171031,20220208
두부,4327. 순두부양념파우더,복합조미식품,제조일로부터 12개월까지,,(주)호반식품,201604150511530,20250829,20250902
두부,50주년 리얼프라이스 1974왕두부,두부,제조일로부터 30일,,소이미푸드(주),2014046605244,20210302,20210311
두부,550 두부제육덮밥,즉석조리식품,제조일로부터  12개월까지,,에이푸드 주식회사,20090445082704,20241122,20241126
두부,550 들깨버섯두부밥,즉석조리식품,제조일로부터 12개월까지,,에이푸드 주식회사,20090445082702,20241121,20241122
두부,5V 두부함박스테이크,즉석조리식품,제조일로부터 12개월까지(냉동보관),,메디쏠라 연구소 키친,20160116016412,20240215,20241001
두부,5원 기부하는 두부,두부,20일(냉장보관요),,농업회사법인 (주)설악앤푸드,202205720509,20230323,20240615
두부,5원 기부하는 두부,두부,20일(냉장보관요),,설악식품,2000039221579,20230510,20240605
두부,5원 기부하는 두부 1,두부,15,,봄내식품,20050380698111,20220708,20230610
두부,5원 기부하는 두부 2,두부,15,,봄내식품,20050380698112,20220708,20230610
두부,5원 기부하는 맛있는 두부,두부,20일(냉장보관요),,농업회사법인 (주)설악앤푸드,2022057205010,20230327,20240615
두부,5원 기부하는 맛있는 두부,두부,20일(냉장보관요),,설악식품,2000039221580,20230510,20240605
두부,60두부,두부,제조일로부터 30일,,소이미푸드(주),2014046605226,20190522,20250819
두부,6가지 채소 포두부 롤 키트,간편조리세트,제조일로부터 5일,,도리깨침,20200280142943,20260514,20260519
두부,79순두부찌개소스,소스,제조일로부터 6개월까지,,(주)호반식품,20160415051589,20201021,20201023
두부,990맛있는두부,두부,(0~10 ℃)제조일로부터 20일,,소이빈네이처제2공장,19980568016186,20221206,20221213
두부,B-21 마파두부 정기 도시락,즉석섭취식품,상온에서 8시간,,(주)해림푸드시스템,20130141524112,20210520,20210525
콩나물,간장제외/새우콩나물국,즉석조리식품,제조일로부터 12개월,,쿡베이스,202002308872085,20260408,20260410
콩나물,간장제외/순두부콩나물양배추국,즉석조리식품,제조일로부터 12개월,,쿡베이스,202002308872093,20260408,20260410
콩나물,간장제외/콩나물 밀키트,즉석조리식품,제조일로부터 12개월,,쿡베이스,202002308871806,20240509,20260402
콩나물,간장제외/콩나물대구탕,즉석조리식품,제조일로부터 12개월,,쿡베이스,202002308872060,20260403,20260409
콩나물,간장제외/콩나물맑은국,즉석조리식품,제조일로부터 12개월,,쿡베이스,202002308872048,20260331,20260402
콩나물,간장제외/한우콩나물근대국,즉석조리식품,제조일로부터 12개월,,쿡베이스,202002308872100,20260408,20260410
콩나물,간콩나물,과.채가공품,7일,-,청수산업,2021038901717,20230206,20230208
콩나물,간편韓정식 황태즉석콩나물국,즉석조리식품,제조일로부터 12개월,,농업회사법인 주식회사 프롬웰,20110521028148,20210611,20210612
콩나물,강태현셰프 전주식콩나물국밥,즉석조리식품,제조일로부터 12개월,,주식회사 레호보트,2019029911699,20221202,20221204
콩나물,강태현셰프 콩나물 황태국,즉석조리식품,제조일로부터 12개월,,주식회사 레호보트,2019029911690,20210830,20211006
콩나물,건조 콩나물,기타가공품,제조일로부터 2년,,인그린(주),19940372201941,20170413,20170417
콩나물,건조콩나물,과.채가공품,제조일로부터 18개월,,(주)두콩양행,19870395020250,20180523,20230610
콩나물,고씨콩나물소스,소스,냉장12개월.,,하주푸드,20030607061237,20210323,20210324
콩나물,곤약 콩나물 냉채,조림류,제조일로부터 5일,,도리깨침,20200280142622,20231128,20231206
콩나물,곰곰 소고기 콩나물 불고기,간편조리세트,제조일로부터 7일,,주식회사 베지스타,201703332531073,20230519,20230613
콩나물,국160호(콩나물국),즉석섭취식품,제조일로부터 8시간 이내,,주식회사 꿈해비타트,20120461108164,20190624,20190626
콩나물,국면당 콩나물국밥육수,복합조미식품,제조일로부터 24개월까지,,(주)해마,200703911551308,20251114,20251119
콩나물,그릿 콩나물무침분말,복합조미식품,제조일로부터 12개월,,태원식품산업(주),1985031100116613,20260126,20260128
콩나물,김구원선생 국산두부가 들어간 김치콩나물국,간편조리세트,제조일로부터 7일,해당없음.,농업회사법인 주식회사 성호,2021038040014,20230831,20230908
콩나물,김구원선생 국산두부가 들어간 무농약콩나물국,간편조리세트,제조일로부터 7일,,농업회사법인 주식회사 성호,2021038040012,20230829,20230902
콩나물,김구원선생 국산두부가 들어간 전주식 김치콩나물국,간편조리세트,제조일로부터 7일,,농업회사법인 주식회사 성호,2021038040020,20240523,20240614
콩나물,김구원선생 국산두부가 들어간 전주식 콩나물국,간편조리세트,제조일로부터 7일,,농업회사법인 주식회사 성호,2021038040019,20240523,20240614
콩나물,김구원선생 국산두부가 들어간 황태콩나물국,간편조리세트,제조일로부터 7일,,농업회사법인 주식회사 성호,2021038040013,20230829,20230902
콩나물,김구원선생 맑은콩나물국스프,복합조미식품,제조일로부터 12개월,,태원식품산업(주),1985031100115681,20250409,20250415
콩나물,김구원선생 얼큰콩나물국스프,복합조미식품,제조일로부터 12개월,,태원식품산업(주),1985031100115682,20250409,20250415
콩나물,김구원선생김치콩나물국소스,소스,제조일로부터 4개월 까지,,주식회사 동방푸드마스타,199104450779063,20230922,20230923
콩나물,김은희김치콩나물국,즉석조리식품,,해당없음.,농업회사법인 주식회사 원스팜,202105620149,20210219,20210220
콩나물,김치 콩나물 밥,즉석조리식품,제조일로부터 12개월,,(주)약석원농업회사법인,20180214195101,20240926,20240928
콩나물,김치 콩나물 솥밥,즉석조리식품,제조일로부터 3일,,도리깨침,20200280142307,20220822,20220826
콩나물,김치맛콩나물분말EX,복합조미식품,"제조일부터 365일(12개월,1년)",,(주)아이작,19970445123750,20190626,20230916
돼지고기,가지돼지고기졸임,조림류,제조일로부터 30일까지,,(주)녹선,200103770922272,20260417,20260422
돼지고기,간장 돼지고기볶음,조림류,제조일로 부터   30일,,(주)후누BDF(2공장),2024017604324,20250327,20250415
돼지고기,간장돼지고기소스,즉석조리식품,제조일로부터 10개월,,유한회사 완도세계로237,2015052901423,20240516,20240518
돼지고기,간장돼지고기연근덮밥,즉석조리식품,제조일로부터 12개월까지,,에이푸드 주식회사,20090445082676,20240903,20260604
