sourceKeyword,sourceKeywords,PRDLST_NM,PRDLST_DCNM,POG_DAYCNT,QLITY_MNTNC_TMLMT_DAYCNT,BSSH_NM,PRDLST_REPORT_NO,PRMS_DT,LAST_UPDT_DTM
새우,새우,(냉동)새우몽땅 감바스 알아히요,즉석조리식품,제조일로부터 12개월,,주식회사제일씨엔에프(C&F),2021021229898,20220328,20231213
소금,소금,(냉동)소금빵 생지,빵류,제조일로부터 180일,,달콤한위로,202200602958,20230821,20230824
치즈,치즈,(냉동)수플레치즈케이크,빵류,제조일로부터 180일,,(주)현대그린푸드 베이커리공장,20160275388281,20200730,20260407
쌀,쌀,(냉동)쌀치아바타,빵류,제조일부터 90일,,(주)현대그린푸드 베이커리공장,20160275388553,20251024,20251030
쌀,쌀,(냉동)쌀케이크,빵류,제조일부터 6개월 냉동,,틔움직업재활센터,20090221004153,20200406,20220305
치즈,치즈,(냉동)아메리칸치즈케익,빵류,90일,,(주)현대그린푸드 베이커리공장,20160275388234,20200513,20230825
무,무,(냉동)얼그레이무화과스콘,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388350,20210712,20240327
연어,연어,(냉동)연어,기타 수산물가공품,제조일로부터 1년까지,,(주)부일,20160368033141,20230920,20230927
연어,연어,(냉동)연어살,기타수산물냉동,제조일로부터 1년까지,,(주)부일,20160368033123,20220329,20230915
오렌지,오렌지,(냉동)오렌지시트,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388187,20190326,20230926
오렌지,오렌지,(냉동)오렌지위크엔드,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388215,20200221,20250213
차,차,(냉동)우리밀 말차 초코파이,빵류,냉동 365일,-,주식회사강동오케익1공장,2018048518319,20220811,20240117
오리,오리,(냉동)우리밀 오리지널 초코파이,빵류,냉동 365일,―,주식회사강동오케익1공장,2018048518315,20220811,20240117
치즈,치즈,(냉동)우리밀 치즈 초코파이,빵류,냉동 365일,-,주식회사강동오케익1공장,2018048518318,20220811,20240117
블루베리,블루베리,(냉동)우리쌀 수제 블루베리 시나몬 초코파이,빵류,제조일로부터 12개월,제조일로부터 12개월,주식회사강동오케익1공장,2018048518370,20260413,20260416
쌀,쌀,(냉동)우리쌀 수제 얼그레이 초코파이,빵류,제조일로부터 12개월,제조일로부터 12개월,주식회사강동오케익1공장,2018048518398,20260415,20260416
쌀,쌀,(냉동)우리쌀 수제 제주 말차 초코파이,빵류,제조일로부터 12개월,제조일로부터 12개월,주식회사강동오케익1공장,2018048518325,20260413,20260415
유정란,유정란,(냉동)유정란카스테라,빵류,냉동 90일,,(주)신라명과,198402880181966,20190409,20190416
파스타,파스타,(냉동)이탈리안 쉬림프 로제파스타,즉석조리식품,제조일로부터 12개월,,주식회사제일씨엔에프(C&F),20210212298111,20220329,20231213
쿠키,쿠키,(냉동)잉글리쉬토피쿠키,과자,제조일로부터 180일,,(주)현대그린푸드 베이커리공장,20160275388499,20250226,20250304
